1,0,Simon Lizotte,8332,1039,-30,60,61,54,55,$230,"$15,000"
2,0,Eagle McMahon,37817,1044,-27,57,59,59,58,$233,"$10,000"
3,0,Chris Dickerson,62467,1040,-25,60,58,59,58,$235,"$6,000"
3,0,Cole Redalen,79748,1031,-25,60,60,56,59,$235,"$6,000"
5,0,Calvin Heimburg,45971,1051,-24,60,60,58,58,$236,"$3,200"
5,0,Kevin Jones,41760,1026,-24,57,59,61,59,$236,"$3,200"
7,0,Isaac Robinson,50670,1036,-20,60,64,58,58,$240,"$2,200"
8,0,Richard Wysocki,38008,1047,-19,61,62,60,58,$241,"$1,800"
9,0,Anthony Barela,44382,1038,-18,62,56,62,62,$242,"$1,500"
10,0,Jake Hebenheimer,43762,1019,-17,64,66,59,54,$243,"$1,225"
10,0,Gannon Buhr,75412,1044,-17,61,61,60,61,$243,"$1,225"
12,0,Randon Latta,51685,1002,-15,65,60,59,61,$245,"$1,015"
12,0,Austin Hannum,68835,1017,-15,65,60,57,63,$245,"$1,015"
14,0,Bradley Williams,31644,1030,-14,60,65,63,58,$246,$825
14,0,Nikko Locastro,11534,1029,-14,63,64,57,62,$246,$825
14,0,Alden Harris,98091,1030,-14,63,59,62,62,$246,$825
14,0,Joel Freeman,69509,1036,-14,62,61,60,63,$246,$825
18,0,Ezra Robinson,50671,1028,-13,64,64,59,60,$247,$665
18,0,Aaron Gossage,35449,1033,-13,60,62,64,61,$247,$665
18,0,Kyle Klein,85132,1037,-13,60,64,61,62,$247,$665
18,0,Gavin Babcock,80331,1018,-13,66,60,58,63,$247,$665
22,0,Chandler Kramer,139228,1022,-12,68,58,58,64,$248,$610
23,0,Ezra Aderhold,121715,1031,-11,65,63,60,61,$249,$590
24,0,Zach Arlinghaus,65266,1015,-10,64,68,59,59,$250,$545
24,0,Casey White,81739,1017,-10,66,62,61,61,$250,$545
24,0,Adam Hammes,57365,1027,-10,66,64,58,62,$250,$545
24,0,Robert Burridge,96512,1020,-10,64,65,59,62,$250,$545
28,0,Jeremy Koling,33705,1021,-9,68,64,61,58,$251,$510
28,0,Matthew Orum,18330,1039,-9,69,61,61,60,$251,$510
28,0,Luke Taylor,102119,1027,-9,62,67,62,60,$251,$510
31,0,Parker Welck,39491,1014,-8,63,63,61,65,$252,
31,0,Silas Schultz,79047,1024,-8,60,60,65,67,$252,
33,0,Chris Clemons,50401,1027,-7,66,63,62,62,$253,
33,0,James Proctor,34250,1036,-7,64,60,64,65,$253,
35,0,Eric Oakley,53565,1024,-6,67,65,63,59,$254,
36,0,Sullivan Tipton,78817,1028,-5,70,66,59,60,$255,
36,0,Emerson Keith,47472,1025,-5,64,64,65,62,$255,
36,0,Luke Humphries,69424,1016,-5,62,63,68,62,$255,
39,0,Brodie Smith,128378,1021,-4,70,64,64,58,$256,
39,0,Nathan Queen,68286,1012,-4,72,60,65,59,$256,
39,0,Jake Monn,98722,1014,-4,69,63,60,64,$256,
39,0,James Conrad,17295,1028,-4,61,68,62,65,$256,
39,0,Jake Wolff,144536,1002,-4,64,62,63,67,$256,
39,0,Mason Ford,72844,1032,-4,62,63,59,72,256,
45,0,Benjamin Callaway,39015,1030,-3,67,62,62,66,257,
46,0,AJ Carey,61770,1006,-2,69,67,66,56,258,
46,0,Paul Ulibarri,27171,1021,-2,67,66,62,63,258,
46,0,Chandler Fry,25541,1014,-2,62,67,66,63,258,
49,0,Gavin Rathbun,60436,1023,-1,67,69,60,63,259,
50,0,Andrew Presnell,63765,1028,E,60,67,66,67,260,
51,0,Andrew Marwede,75590,1030,2,69,69,60,64,262,
52,0,Colten Montgomery,35876,1016,3,64,66,64,69,263,
53,0,Thomas Gilbert,85850,1014,4,72,64,64,64,264,
54,0,Trevon Crowe,67172,1003,6,69,66,63,68,266,
55,0,Joseph Anderson,122356,1028,7,70,70,65,62,267,
55,0,Andrew Fish,58320,1017,7,69,70,63,65,267,
55,0,Luke Samson,59419,1016,7,70,66,66,65,267,
58,0,Jared Stoll,68103,1000,8,71,71,62,64,268,
58,0,Evan Smith,101574,1028,8,65,69,70,64,268,
58,0,G.T. Hancock,49885,1011,8,64,71,65,68,268,
61,0,Raven Newsom,88212,1008,9,74,64,69,62,269,
61,0,Tristan Tanner,99053,1012,9,68,66,68,67,269,
61,0,Zackeriath Johnson,50312,1006,9,71,66,64,68,269,
64,0,Evan Scott,89394,1021,10,69,70,67,64,270,
64,0,Ty Love,89959,1023,10,76,65,62,67,270,
66,0,Manabu Kajiyama,8139,1056,11,65,70,69,67,271,
67,0,Max Regitnig,27812,1004,13,74,69,66,64,273,
67,0,Connor Rock,73695,1015,13,70,74,63,66,273,
69,0,Zach Melton,38631,1004,19,69,72,70,68,279,
70,0,Justin Rosak,98161,999,20,71,71,70,68,280,
70,0,Carter Ahrens,88279,1013,20,72,72,67,69,280,
72,0,Connor O'Reilly,99648,1014,23,68,71,73,71,283,
73,0,Noah Fiveash,99153,974,25,73,71,73,68,285,
