1,Ohn Scoggins,48976,985,-28,62,58,57,55,232,"$8,000"
2,Silva Saarinen,107335,988,-27,60,57,57,59,233,"$5,000"
3,Valerie Mandujano,62879,975,-20,62,60,57,61,240,"$3,000"
4,Kat Mertsch,99455,969,-17,65,57,61,60,243,"$2,200"
5,Ella Hansen,144112,971,-16,63,66,57,58,244,"$1,720"
6,Missy Gannon,85942,987,-14,63,63,63,57,246,"$1,540"
7,Eveliina Salonen,64927,979,-13,67,62,60,58,247,"$1,380"
8,Madison Walker,59431,947,-10,65,60,65,60,250,"$1,108"
8,Lisa Fajkus,32654,957,-10,62,62,66,60,250,"$1,108"
8,Emily Weatherman,111487,949,-10,62,65,62,61,250,"$1,108"
8,Taylor Chocek,189702,946,-10,70,58,59,63,250,"$1,108"
12,Hanna Huynh,112647,964,-9,65,63,64,59,251,$880
12,Catrina Allen,44184,960,-9,68,64,59,60,251,$880
14,Holyn Handley,133547,987,-7,67,63,64,59,253,$800
15,Alexis Mandujano,62880,957,-6,63,63,66,62,254,$750
16,Dani K. Hart,146137,947,-5,66,67,62,60,255,$675
16,Heidi Laine,66599,946,-5,62,65,66,62,255,$675
18,Paige Pierce,29190,972,-4,68,68,62,58,256,$610
19,Sheliemae Lai,215439,947,-2,65,66,66,61,258,$555
19,Rebecca Don,208576,954,-2,65,64,64,65,258,$555
21,Eliezra Midtlyng,198446,939,-1,68,65,67,59,259,$495
21,Sofia Donnecke,185534,962,-1,66,66,65,62,259,$495
23,Kona Star Montgomery,27832,940,+2,70,63,64,65,262,$434
23,Henna Blomroos,59227,970,+2,67,66,64,65,262,$434
25,Rebecca Cox,32917,956,+6,69,64,67,66,266,$400
26,Kelley Foster,152191,931,+8,66,73,64,203,,
26,Jessica Gurthie,50656,959,+8,70,67,66,203,,
28,Raven Klein,138272,945,+9,72,68,64,204,,
28,Lykke Lorentzen,99441,927,+9,64,73,67,204,,
30,Trinity Bryant,168863,916,+10,74,69,62,205,,
31,Maria Oliva,63257,916,+12,75,68,64,207,,
32,Shiru Liu,158461,916,+14,71,63,75,209,,
33,Sintija Klezberga,229526,936,+15,74,74,62,210,,
33,Lauren Butler,65489,919,+15,73,70,67,210,,
35,Jennifer Smiley,184736,935,+16,72,70,69,211,,
36,Stephanie Vincent,29947,924,+17,67,68,77,212,,
37,Shelby Cowen,124064,918,+18,71,78,64,213,,
37,Chandler Reigh,277832,935,+18,73,69,71,213,,
39,Tiger Borth,78232,898,+19,74,72,68,214,,
39,Tailey Rowley,231650,907,+19,72,68,74,214,,
41,Alexis Kerman,142354,922,+20,73,69,73,215,,
42,Erika Stinchcomb,71262,919,+23,69,72,77,218,,
43,Nathalie Ortiz,133701,900,+24,72,72,75,219,,
44,Sarah Duran,218760,876,+31,77,75,74,226,,
44,Emily Yale,144791,892,+31,76,76,74,226,,
46,Cassandra Lioi,83376,886,+32,75,77,75,227,,
47,Hannah Kellar,198721,888,+35,84,77,69,230,,
48,Katherine Aydelott,284553,858,+36,78,79,74,231,,
49,Ashley Phelps,132291,918,+39,80,79,75,234,,
49,Destyne Martinez,158385,877,+39,81,77,76,234,,
