1,Eveliina Salonen,64927,988,-43,63,59,59,62,56,299,"$20,000"
2,Missy Gannon,85942,986,-26,67,58,64,63,64,316,"$13,000"
3,Rebecca Don,208576,962,-22,65,63,62,62,68,320,"$8,500"
4,Holyn Handley,133547,984,-21,65,66,63,65,62,321,"$6,200"
5,Silva Saarinen,107335,991,-18,67,65,64,61,67,324,"$4,800"
6,Catrina Allen,44184,968,-14,72,62,66,64,64,328,"$3,500"
6,Julia Fors,224238,966,-14,59,69,67,63,70,328,"$3,500"
8,Iida Lehtomäki,216558,959,-11,62,65,67,70,67,331,"$2,700"
9,Anneli Tõugjas-Männiste,85484,959,-8,67,68,66,65,68,334,"$2,450"
10,Jennifer Allen,15354,966,-7,68,67,67,65,68,335,"$2,250"
11,Ohn Scoggins,48976,989,-6,67,67,67,65,70,336,"$1,975"
11,Olivia Kindstedt,115503,949,-6,64,67,65,67,73,336,"$1,975"
13,Rebecca Cox,32917,949,-2,69,66,72,70,63,340,"$1,700"
13,Kristýna Jurčíková,210972,968,-2,65,71,68,71,65,340,"$1,700"
13,Anniken Kristiansen Steen,109996,966,-2,70,67,71,63,69,340,"$1,700"
16,Kona Star Montgomery,27832,950,-1,68,71,67,66,69,341,"$1,390"
16,Elizabete Pēkšena,202571,938,-1,70,68,68,66,69,341,"$1,390"
16,Dani K. Hart,146137,947,-1,65,73,67,65,71,341,"$1,390"
16,Addison Woodard,161918,956,-1,63,67,69,71,71,341,"$1,390"
20,Sai Ananda,58303,959,E,65,73,64,71,69,342,"$1,200"
21,Sintija Klezberga,229526,958,+1,73,68,67,70,65,343,"$1,082"
21,Heidi Laine,66599,963,+1,59,75,70,71,68,343,"$1,082"
21,Ella Hansen,144112,977,+1,64,68,74,66,71,343,"$1,082"
24,Madison Walker,59431,953,+2,67,72,67,66,72,344,$980
25,Hanna Huynh,112647,961,+3,66,69,61,76,73,345,$905
25,Henna Blomroos,59227,968,+3,70,72,67,62,74,345,$905
27,Jessica Gurthie,50656,956,+4,73,70,64,73,66,346,$810
27,Kat Mertsch,99455,965,+4,65,69,65,73,74,346,$810
29,MJ Gager,146304,948,+6,67,67,68,74,72,348,$740
30,Eliezra Midtlyng,198446,952,+7,70,67,72,69,71,349,$650
30,Chandler Reigh,277832,939,+7,73,69,66,67,74,349,$650
30,Valerie Mandujano,62879,972,+7,69,72,64,70,74,349,$650
30,Macie Velediaz,104187,952,+7,69,68,64,72,76,349,$650
30,Cadence Burge,79233,966,+7,66,62,71,74,76,349,$650
35,Ida Emilie Nesse,181772,945,+9,69,69,71,71,71,351,$530
35,Chantel Budinsky,130342,956,+9,71,70,67,72,71,351,$530
35,Raven Klein,138272,942,+9,67,72,68,71,73,351,$530
38,Ann Deputy,238187,924,+11,73,65,65,76,74,353,
39,Emily Weatherman,111487,960,+12,63,77,63,70,81,354,
40,Nina Bennett,140947,949,+9,71,72,70,68,281,,
41,Kylie Kohut,195549,940,+10,70,73,70,69,282,,
41,Sarah Hokom,34563,947,+10,67,72,74,69,282,,
41,Lisa Fajkus,32654,959,+10,73,67,69,73,282,,
44,Violet Main,104314,940,+12,73,69,72,70,284,,
44,Josefine Johansson,185057,930,+12,71,70,73,70,284,,
46,Jordan Lynds,176243,942,+13,69,76,73,67,285,,
46,Tiger Borth,78232,899,+13,76,70,71,68,285,,
48,Cynthia Ricciotti,75029,923,+16,72,71,79,66,288,,
48,Therese Cuevas,162896,939,+16,76,77,67,68,288,,
48,Paige Pierce,29190,963,+16,66,74,72,76,288,,
51,Alexis Mandujano,62880,960,+17,70,76,71,72,289,,
52,Karen Martel,103743,923,+18,73,74,74,69,290,,
52,Ember Simonis,143423,916,+18,81,70,68,71,290,,
54,Lexi Marx,193215,930,+20,77,72,76,67,292,,
54,Holly Finley,51277,937,+20,69,72,80,71,292,,
