1,Gannon Buhr,75412,1058,-43,53,60,60,53,54,280,"$20,000"
2,Aaron Gossage,35449,1033,-42,58,60,56,57,50,281,"$12,000"
3,Niklas Anttila,91249,1045,-41,56,57,59,59,51,282,"$8,000"
4,Ezra Aderhold,121715,1031,-37,55,53,63,58,57,286,"$6,300"
5,Sullivan Tipton,78817,1036,-36,51,61,62,55,58,287,"$4,600"
5,Anthony Barela,44382,1046,-36,56,58,66,48,59,287,"$4,600"
7,Adam Hammes,57365,1036,-32,52,62,65,56,56,291,"$3,700"
8,Paul McBeth,27523,1044,-30,60,64,61,57,51,293,"$3,150"
8,Pyry Joutsen,72905,1018,-30,52,68,61,55,57,293,"$3,150"
10,Andrew Marwede,75590,1034,-29,58,64,64,54,54,294,"$2,600"
10,Calvin Heimburg,45971,1048,-29,57,62,61,57,57,294,"$2,600"
12,Gavin Babcock,80331,1029,-28,57,62,69,53,54,295,"$2,200"
12,Isaac Robinson,50670,1047,-28,59,62,62,55,57,295,"$2,200"
14,Ezra Robinson,50671,1042,-27,54,68,62,57,55,296,"$1,850"
14,Corey Ellis,44512,1036,-27,56,62,69,52,57,296,"$1,850"
14,Lenni Kemppainen,96736,1009,-27,61,53,66,59,57,296,"$1,850"
14,Chris Dickerson,62467,1037,-27,59,61,60,58,58,296,"$1,850"
18,Alden Harris,98091,1026,-26,58,63,64,55,57,297,"$1,550"
18,Simon Lizotte,8332,1037,-26,58,64,58,59,58,297,"$1,550"
20,Mason Ford,72844,1035,-25,57,65,63,56,57,298,"$1,350"
20,Lauri Lehtinen,82297,1038,-25,56,66,60,55,61,298,"$1,350"
22,Bradley Williams,31644,1031,-24,54,63,71,56,55,299,"$1,125"
22,Austin Turner,54049,1038,-24,54,62,67,59,57,299,"$1,125"
22,Calvin Lonnquist,145206,1009,-24,64,58,66,52,59,299,"$1,125"
22,Casey White,81739,1027,-24,55,65,62,58,59,299,"$1,125"
26,Rasmus Saukkoriipi,136325,1016,-23,55,63,68,54,60,300,"$1,020"
27,Eli Swansen,128050,1000,-22,64,59,64,58,56,301,$970
